description,age,employment_status,employment_years,income,credit_score,loan_amount,loan_term_months,loan_purpose,debt_to_income,existing_loans,collateral,revolving_utilization,delinquencies,bankruptcies,underwriter_notes,credit_health_index,approved,risk_tier,recommended_apr,default_prob,max_approved_amount
"Borrower review: 43-year-old employed requesting a $121,198 240-month loan for business expansion. Financial standing: $124,694 annual gross income, credit rating of 674, and leverage ratio of 0.40. Collateral posture: None. Obligation structure: 5 existing loan liability(ies), with 1 past delinquency flag(s), 10% revolving usage. Analyst review: Strong liquidity profile and prime credit score history.",43,Employed,9.3,124694,674,121198,240,Business Expansion,0.4,5,None,0.1,1,0,Strong liquidity profile and prime credit score history.,71.9,1,Tier A (Prime),11.43,0.064,67241
"Applicant is a 63-year-old business owner professional (14.5 years in field) requesting a $21,770 credit facility for commercial equipment over 240 months without collateral backing. Declared annual income is $47,296 against a credit score of 589 and DTI ratio of 0.48. Credit file shows 3 existing loan liability(ies), 20% revolving utilization, and with zero delinquencies. Underwriting assessment: High revolving credit utilization with recent delinquency inquiries on file.",63,Business Owner,14.5,47296,589,21770,240,Commercial Equipment,0.48,3,None,0.2,0,0,High revolving credit utilization with recent delinquency inquiries on file.,26.6,0,Tier D (High Risk),21.4,0.863,9435
"Credit application summary: $140,800 vehicle purchase loan sought by a 49-year-old unemployed individual. Repayment horizon is 60 months with property / real estate collateral. Applicant commands an annual income of $15,000 with a FICO score of 709 and debt ratio of 2.50. Borrower carries 3 existing loan liability(ies) and revolving utilization of 27%. Credit notes: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",49,Unemployed,0.0,15000,709,140800,60,Vehicle Purchase,2.5,3,Property / Real Estate,0.27,0,0,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Loan profile: The applicant is 57 years of age, working as employed with 7.1 years of experience. Seeking $57,038 financing for education across 24 monthly installments secured by investment portfolio. Earning $197,948 annually with an established credit score of 574 and monthly DTI of 0.03. The borrower currently maintains no existing debt obligations. Risk note: Verified disposable cash flow comfortably covers debt service coverage ratio.",57,Employed,7.1,197948,574,57038,24,Education,0.03,0,Investment Portfolio,0.13,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,98.8,1,Tier A+ (Prime),6.25,0.02,146679
"Borrower review: 21-year-old employed requesting a $104,131 48-month loan for business expansion. Financial standing: $69,112 annual gross income, credit rating of 626, and leverage ratio of 0.21. Collateral posture: Investment Portfolio. Obligation structure: 1 existing loan liability(ies), with 1 past delinquency flag(s), 35% revolving usage. Analyst review: Solid balance sheet with multi-year steady employment and low debt obligations.",21,Employed,0.0,69112,626,104131,48,Business Expansion,0.21,1,Investment Portfolio,0.35,1,0,Solid balance sheet with multi-year steady employment and low debt obligations.,75.9,1,Tier A (Prime),10.55,0.044,39342
"Applicant is a 40-year-old employed professional (15.9 years in field) requesting a $53,003 credit facility for medical over 12 months secured by vehicle. Declared annual income is $51,731 against a credit score of 763 and DTI ratio of 0.25. Credit file shows no existing debt obligations, 2% revolving utilization, and with zero delinquencies. Underwriting assessment: Strong liquidity profile and prime credit score history.",40,Employed,15.9,51731,763,53003,12,Medical,0.25,0,Vehicle,0.02,0,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,38410
"Credit application summary: $65,691 debt consolidation loan sought by a 52-year-old employed individual. Repayment horizon is 48 months with property / real estate collateral. Applicant commands an annual income of $147,194 with a FICO score of 714 and debt ratio of 0.12. Borrower carries 1 existing loan liability(ies) and revolving utilization of 4%. Credit notes: Strong liquidity profile and prime credit score history.",52,Employed,21.8,147194,714,65691,48,Debt Consolidation,0.12,1,Property / Real Estate,0.04,0,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,109291
"Loan profile: The applicant is 31 years of age, working as unemployed with 0.0 years of experience. Seeking $68,363 financing for home purchase across 180 monthly installments secured by cash reserve. Earning $34,506 annually with an established credit score of 738 and monthly DTI of 0.36. The borrower currently maintains no existing debt obligations. Risk note: High revolving credit utilization with recent delinquency inquiries on file.",31,Unemployed,0.0,34506,738,68363,180,Home Purchase,0.36,0,Cash Reserve,0.03,1,0,High revolving credit utilization with recent delinquency inquiries on file.,45.7,0,Tier C (Subprime),17.2,0.483,11826
"Borrower review: 41-year-old business owner requesting a $94,711 48-month loan for education. Financial standing: $167,372 annual gross income, credit rating of 850, and leverage ratio of 0.10. Collateral posture: None. Obligation structure: 1 existing loan liability(ies), with zero delinquencies, 17% revolving usage. Analyst review: Clean repayment history with strong collateral backing.",41,Business Owner,7.4,167372,850,94711,48,Education,0.1,1,None,0.17,0,0,Clean repayment history with strong collateral backing.,99.0,1,Tier A+ (Prime),6.25,0.02,124273
"Applicant is a 63-year-old employed professional (14.4 years in field) requesting a $39,158 credit facility for business expansion over 60 months secured by cash reserve. Declared annual income is $50,845 against a credit score of 680 and DTI ratio of 0.34. Credit file shows 1 existing loan liability(ies), 14% revolving utilization, and with zero delinquencies. Underwriting assessment: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",63,Employed,14.4,50845,680,39158,60,Business Expansion,0.34,1,Cash Reserve,0.14,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,37752
"Credit application summary: $20,436 green energy & solar loan sought by a 44-year-old employed individual. Repayment horizon is 36 months with commercial equipment collateral. Applicant commands an annual income of $59,408 with a FICO score of 686 and debt ratio of 0.05. Borrower carries no existing debt obligations and revolving utilization of 13%. Credit notes: Solid balance sheet with multi-year steady employment and low debt obligations.",44,Employed,11.2,59408,686,20436,36,Green Energy & Solar,0.05,0,Commercial Equipment,0.13,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,44110
"Loan profile: The applicant is 68 years of age, working as employed with 6.3 years of experience. Seeking $37,827 financing for medical across 12 monthly installments secured by property / real estate. Earning $82,569 annually with an established credit score of 664 and monthly DTI of 0.25. The borrower currently maintains 2 existing loan liability(ies). Risk note: Clean repayment history with strong collateral backing.",68,Employed,6.3,82569,664,37827,12,Medical,0.25,2,Property / Real Estate,0.45,1,0,Clean repayment history with strong collateral backing.,99.0,1,Tier A+ (Prime),6.25,0.02,61307
"Borrower review: 46-year-old self-employed requesting a $24,328 360-month loan for vehicle purchase. Financial standing: $112,108 annual gross income, credit rating of 650, and leverage ratio of 0.17. Collateral posture: None. Obligation structure: 2 existing loan liability(ies), with zero delinquencies, 16% revolving usage. Analyst review: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",46,Self-Employed,20.2,112108,650,24328,360,Vehicle Purchase,0.17,2,None,0.16,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,98.5,1,Tier A+ (Prime),6.25,0.02,82819
"Applicant is a 61-year-old employed professional (8.3 years in field) requesting a $25,551 credit facility for home purchase over 36 months secured by investment portfolio. Declared annual income is $52,592 against a credit score of 606 and DTI ratio of 0.11. Credit file shows no existing debt obligations, 33% revolving utilization, and with zero delinquencies. Underwriting assessment: Strong liquidity profile and prime credit score history.",61,Employed,8.3,52592,606,25551,36,Home Purchase,0.11,0,Investment Portfolio,0.33,0,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,39049
"Credit application summary: $138,840 vehicle purchase loan sought by a 47-year-old freelancer individual. Repayment horizon is 36 months with vehicle collateral. Applicant commands an annual income of $72,591 with a FICO score of 691 and debt ratio of 0.62. Borrower carries 5 existing loan liability(ies) and revolving utilization of 4%. Credit notes: High revolving credit utilization with recent delinquency inquiries on file.",47,Freelancer,20.2,72591,691,138840,36,Vehicle Purchase,0.62,5,Vehicle,0.04,0,0,High revolving credit utilization with recent delinquency inquiries on file.,43.0,0,Tier C (Subprime),17.79,0.55,23410
"Loan profile: The applicant is 35 years of age, working as unemployed with 0.0 years of experience. Seeking $64,026 financing for commercial equipment across 60 monthly installments secured by vehicle. Earning $20,146 annually with an established credit score of 712 and monthly DTI of 1.01. The borrower currently maintains 1 existing loan liability(ies). Risk note: Aggressive loan request relative to stated annual gross income.",35,Unemployed,0.0,20146,712,64026,60,Commercial Equipment,1.01,1,Vehicle,0.16,0,0,Aggressive loan request relative to stated annual gross income.,1.7,0,Tier D (High Risk),26.25,0.94,3000
"Borrower review: 34-year-old employed requesting a $61,855 60-month loan for medical. Financial standing: $141,170 annual gross income, credit rating of 717, and leverage ratio of 0.12. Collateral posture: Investment Portfolio. Obligation structure: no existing debt obligations, with 1 past delinquency flag(s), 25% revolving usage. Analyst review: Strong liquidity profile and prime credit score history.",34,Employed,9.3,141170,717,61855,60,Medical,0.12,0,Investment Portfolio,0.25,1,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,104818
"Applicant is a 66-year-old self-employed professional (9.6 years in field) requesting a $89,723 credit facility for vehicle purchase over 36 months without collateral backing. Declared annual income is $115,874 against a credit score of 690 and DTI ratio of 0.17. Credit file shows 1 existing loan liability(ies), 8% revolving utilization, and with zero delinquencies. Underwriting assessment: Clean repayment history with strong collateral backing.",66,Self-Employed,9.6,115874,690,89723,36,Vehicle Purchase,0.17,1,None,0.08,0,0,Clean repayment history with strong collateral backing.,84.7,1,Tier A+ (Prime),8.62,0.02,73608
"Credit application summary: $63,776 commercial equipment loan sought by a 70-year-old student individual. Repayment horizon is 60 months with none collateral. Applicant commands an annual income of $15,000 with a FICO score of 757 and debt ratio of 2.40. Borrower carries 5 existing loan liability(ies) and revolving utilization of 14%. Credit notes: Unfavorable leverage metrics and multiple active loan liabilities.",70,Student,0.0,15000,757,63776,60,Commercial Equipment,2.4,5,None,0.14,0,0,Unfavorable leverage metrics and multiple active loan liabilities.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Loan profile: The applicant is 63 years of age, working as self-employed with 26.9 years of experience. Seeking $162,804 financing for debt consolidation across 36 monthly installments secured by commercial equipment. Earning $68,037 annually with an established credit score of 687 and monthly DTI of 0.47. The borrower currently maintains 3 existing loan liability(ies). Risk note: Solid balance sheet with multi-year steady employment and low debt obligations.",63,Self-Employed,26.9,68037,687,162804,36,Debt Consolidation,0.47,3,Commercial Equipment,0.42,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,78.7,1,Tier A (Prime),9.94,0.033,40158
"Borrower review: 71-year-old employed requesting a $8,341 48-month loan for home improvement. Financial standing: $41,738 annual gross income, credit rating of 653, and leverage ratio of 0.23. Collateral posture: Property / Real Estate. Obligation structure: no existing debt obligations, with zero delinquencies, 8% revolving usage. Analyst review: Verified disposable cash flow comfortably covers debt service coverage ratio.",71,Employed,15.5,41738,653,8341,48,Home Improvement,0.23,0,Property / Real Estate,0.08,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,30990
"Applicant is a 22-year-old employed professional (0.6 years in field) requesting a $18,992 credit facility for debt consolidation over 36 months secured by vehicle. Declared annual income is $95,077 against a credit score of 612 and DTI ratio of 0.25. Credit file shows 3 existing loan liability(ies), 14% revolving utilization, and with zero delinquencies. Underwriting assessment: Strong liquidity profile and prime credit score history.",22,Employed,0.6,95077,612,18992,36,Debt Consolidation,0.25,3,Vehicle,0.14,0,0,Strong liquidity profile and prime credit score history.,88.4,1,Tier A+ (Prime),7.8,0.02,63036
"Credit application summary: $23,730 business expansion loan sought by a 56-year-old retired individual. Repayment horizon is 60 months with none collateral. Applicant commands an annual income of $86,685 with a FICO score of 564 and debt ratio of 0.14. Borrower carries 1 existing loan liability(ies) and revolving utilization of 17%. Credit notes: Moderate risk profile; requires verification of secondary liquid assets.",56,Retired,18.1,86685,564,23730,60,Business Expansion,0.14,1,None,0.17,0,0,Moderate risk profile; requires verification of secondary liquid assets.,64.8,1,Tier B (Near-Prime),12.99,0.121,42128
"Loan profile: The applicant is 70 years of age, working as self-employed with 8.9 years of experience. Seeking $14,302 financing for medical across 12 monthly installments secured by property / real estate. Earning $80,914 annually with an established credit score of 798 and monthly DTI of 0.11. The borrower currently maintains no existing debt obligations. Risk note: Solid balance sheet with multi-year steady employment and low debt obligations.",70,Self-Employed,8.9,80914,798,14302,12,Medical,0.11,0,Property / Real Estate,0.17,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,60078
"Borrower review: 26-year-old self-employed requesting a $43,682 84-month loan for debt consolidation. Financial standing: $66,027 annual gross income, credit rating of 630, and leverage ratio of 0.34. Collateral posture: None. Obligation structure: 2 existing loan liability(ies), with zero delinquencies, 35% revolving usage. Analyst review: Moderate risk profile; requires verification of secondary liquid assets.",26,Self-Employed,4.0,66027,630,43682,84,Debt Consolidation,0.34,2,None,0.35,0,0,Moderate risk profile; requires verification of secondary liquid assets.,61.9,1,Tier B (Near-Prime),13.63,0.156,30653
"Applicant is a 40-year-old retired professional (8.3 years in field) requesting a $45,249 credit facility for commercial equipment over 60 months secured by property / real estate. Declared annual income is $54,195 against a credit score of 612 and DTI ratio of 0.24. Credit file shows 1 existing loan liability(ies), 20% revolving utilization, and with zero delinquencies. Underwriting assessment: Strong liquidity profile and prime credit score history.",40,Retired,8.3,54195,612,45249,60,Commercial Equipment,0.24,1,Property / Real Estate,0.2,0,0,Strong liquidity profile and prime credit score history.,84.8,1,Tier A+ (Prime),8.59,0.02,34468
"Credit application summary: $176,575 debt consolidation loan sought by a 28-year-old retired individual. Repayment horizon is 240 months with none collateral. Applicant commands an annual income of $58,525 with a FICO score of 652 and debt ratio of 0.42. Borrower carries 1 existing loan liability(ies) and revolving utilization of 23%. Credit notes: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",28,Retired,4.6,58525,652,176575,240,Debt Consolidation,0.42,1,None,0.23,0,1,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,27.6,0,Tier D (High Risk),21.18,0.851,12114
"Loan profile: The applicant is 58 years of age, working as student with 0.0 years of experience. Seeking $79,050 financing for home purchase across 60 monthly installments without collateral backing. Earning $17,122 annually with an established credit score of 663 and monthly DTI of 1.26. The borrower currently maintains 1 existing loan liability(ies). Risk note: Aggressive loan request relative to stated annual gross income.",58,Student,0.0,17122,663,79050,60,Home Purchase,1.26,1,None,0.08,0,0,Aggressive loan request relative to stated annual gross income.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Borrower review: 37-year-old employed requesting a $27,428 36-month loan for debt consolidation. Financial standing: $35,586 annual gross income, credit rating of 812, and leverage ratio of 0.38. Collateral posture: Vehicle. Obligation structure: 1 existing loan liability(ies), with zero delinquencies, 5% revolving usage. Analyst review: Solid balance sheet with multi-year steady employment and low debt obligations.",37,Employed,8.9,35586,812,27428,36,Debt Consolidation,0.38,1,Vehicle,0.05,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,26422
"Applicant is a 23-year-old self-employed professional (0.7 years in field) requesting a $58,149 credit facility for home improvement over 48 months secured by property / real estate. Declared annual income is $24,777 against a credit score of 659 and DTI ratio of 0.89. Credit file shows 2 existing loan liability(ies), 26% revolving utilization, and with zero delinquencies. Underwriting assessment: Limited asset collateral and history of short employment duration.",23,Self-Employed,0.7,24777,659,58149,48,Home Improvement,0.89,2,Property / Real Estate,0.26,0,0,Limited asset collateral and history of short employment duration.,25.8,0,Tier D (High Risk),21.57,0.872,4794
"Credit application summary: $10,196 debt consolidation loan sought by a 44-year-old business owner individual. Repayment horizon is 60 months with investment portfolio collateral. Applicant commands an annual income of $202,502 with a FICO score of 850 and debt ratio of 0.10. Borrower carries 2 existing loan liability(ies) and revolving utilization of 11%. Credit notes: Solid balance sheet with multi-year steady employment and low debt obligations.",44,Business Owner,5.8,202502,850,10196,60,Debt Consolidation,0.1,2,Investment Portfolio,0.11,0,0,Solid balance sheet with multi-year steady employment and low debt obligations.,99.0,1,Tier A+ (Prime),6.25,0.02,150357
"Loan profile: The applicant is 33 years of age, working as business owner with 6.1 years of experience. Seeking $44,653 financing for medical across 36 monthly installments secured by property / real estate. Earning $132,530 annually with an established credit score of 689 and monthly DTI of 0.05. The borrower currently maintains no existing debt obligations. Risk note: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",33,Business Owner,6.1,132530,689,44653,36,Medical,0.05,0,Property / Real Estate,0.03,2,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,98403
"Borrower review: 69-year-old self-employed requesting a $42,898 60-month loan for green energy & solar. Financial standing: $93,403 annual gross income, credit rating of 845, and leverage ratio of 0.28. Collateral posture: Property / Real Estate. Obligation structure: 2 existing loan liability(ies), with zero delinquencies, 4% revolving usage. Analyst review: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",69,Self-Employed,20.6,93403,845,42898,60,Green Energy & Solar,0.28,2,Property / Real Estate,0.04,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,69351
"Applicant is a 28-year-old employed professional (2.7 years in field) requesting a $20,402 credit facility for debt consolidation over 36 months without collateral backing. Declared annual income is $139,505 against a credit score of 754 and DTI ratio of 0.05. Credit file shows no existing debt obligations, 7% revolving utilization, and with zero delinquencies. Underwriting assessment: Clean repayment history with strong collateral backing.",28,Employed,2.7,139505,754,20402,36,Debt Consolidation,0.05,0,None,0.07,0,0,Clean repayment history with strong collateral backing.,99.0,1,Tier A+ (Prime),6.25,0.02,103582
